word,examCategory,cefrLevel,difficulty,partOfSpeech,level,frequency,tags
evaluate,CSAT,B2,INTERMEDIATE,VERB,L1,89,"평가,감정"
evident,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,84,"명백한,분명한"
evolve,CSAT,B2,INTERMEDIATE,VERB,L1,86,"진화,발전"
expand,CSAT,B2,INTERMEDIATE,VERB,L1,90,"확장,팽창"
exploit,CSAT,B2,INTERMEDIATE,VERB,L2,79,"이용,착취"
expose,CSAT,B2,INTERMEDIATE,VERB,L1,87,"노출,폭로"
extent,CSAT,B2,INTERMEDIATE,NOUN,L1,85,"정도,범위"
factor,CSAT,B1,BASIC,NOUN,L1,94,"요인,요소"
feature,CSAT,B1,BASIC,NOUN,L1,93,"특징,특색"
fundamental,CSAT,B2,INTERMEDIATE,ADJECTIVE,L1,86,"근본적,기본"
generate,CSAT,B2,INTERMEDIATE,VERB,L1,89,"생성,발생"
hypothesis,CSAT,B2,ADVANCED,NOUN,L2,78,"가설,가정"
identify,CSAT,B2,INTERMEDIATE,VERB,L1,92,"확인,식별"
illustrate,CSAT,B2,INTERMEDIATE,VERB,L1,85,"설명,예시"
impact,CSAT,B1,BASIC,NOUN,L1,94,"영향,충격"
imply,CSAT,B2,INTERMEDIATE,VERB,L1,87,"암시,의미"
indicate,CSAT,B2,INTERMEDIATE,VERB,L1,91,"나타내다,표시"
